"SUID","__mclCluster","MAA","name","score","selected","shared name"
"3942","615","0.25","RAMP1",,"false","RAMP1"
"3943","479","0.2","ESRRA","0.272714418721","false","ESRRA"
"3944","272","0.0","SH3GL3",,"false","SH3GL3"
"3945","272","0.0","KRT9",,"false","KRT9"
"3946","3","0.04831336439183508","DMRT1",,"false","DMRT1"
"3947","30","0.025486340004410475","POLR2L",,"false","POLR2L"
"3948","67","0.02444559659856851","DKC1",,"false","DKC1"
"3949","24","0.0595369773792601","GATA3",,"false","GATA3"
"3950","463","0.0","SUCO",,"false","SUCO"
"3951","122","0.0","NCAM2",,"false","NCAM2"
"3952","9","0.02525784014253201","MX1",,"false","MX1"
"3953","644","0.0","SFTPA2",,"false","SFTPA2"
"3954","644","0.0","CD93",,"false","CD93"
"3955","275","0.0","USP6",,"false","USP6"
"3956","198","0.0","RWDD1",,"false","RWDD1"
"3957","75","0.0865100260450404","LCT",,"false","LCT"
"3958","1","0.017462756568235437","PBDC1",,"false","PBDC1"
"3959","472","0.2","CDK5","0.272714418721","false","CDK5"
"3960","335","0.16666666666666666","MYO5A",,"false","MYO5A"
"3961","200","0.0","RAVER1",,"false","RAVER1"
"3962","422","0.2","TRIP10",,"false","TRIP10"
"3963","856","0.0","SEPT14",,"false","SEPT14"
"3964","42","0.018000419753024195","PANK2",,"false","PANK2"
"3965","805","0.0","HMX3",,"false","HMX3"
"3966","5","0.0","YES1",,"false","YES1"
"3967","1201","0.0","RAB3A",,"false","RAB3A"
"3968","328","0.07333678979570554","TRAF3IP3",,"false","TRAF3IP3"
"3969","252","0.0","RBSN",,"false","RBSN"
"3970","249","0.14285714285714288","CD40","0.272714418721","false","CD40"
"3971","249","0.14285714285714288","OGT",,"false","OGT"
"3972","1202","0.0","COMMD1",,"false","COMMD1"
"3973","1203","0.0","PMF1",,"false","PMF1"
"3974","1203","0.0","COPS7B",,"false","COPS7B"
"3975","321","0.0","KIF24",,"false","KIF24"
"3976","14","0.02440713116566497","NUP188",,"false","NUP188"
"3977","239","0.0","GNGT2",,"false","GNGT2"
"3978","1","0.017462756568235437","NAP1L4",,"false","NAP1L4"
"3979","997","0.0","GMEB1",,"false","GMEB1"
"3980","210","0.0","FANCB",,"false","FANCB"
"3981","206","0.125","PRKCDBP",,"false","PRKCDBP"
"3982","733","0.0","EPS15L1",,"false","EPS15L1"
