a_alias	b_alias
POLR2G	USP45
LSM2	MEPCE
EEF1D	SET
MED4	RPAP2
PDE6D	RND1
UBA5	ECHS1
RPAP1	HLTF
TMEM33	PHLDA3
DNTTIP2	HIST3H2A
LMO4	HDAC1
F10	APOH
COL8A1	FN1
PTPRK	LCK
PNN	CTBP2
PLK1	PLK2
MAP3K6	YWHAB
RAE1	POLR3B
PAXIP1	DPY30
LCK	EZR
TMED2	SEC24B
SLC25A1	AGO4
HIST1H1A	CDK2
RIF1	ZNF24
NUDT5	HSPB9
ELF1	NFYA
YBX1	AGO4
ACO2	MLH1
PACSIN3	MAPK1
HYOU1	MCC
RNF144A	E2F3
SSX4B	PAX9
TUBA4A	CLIP1
KLK6	COL4A5
TNIK	PDCD5
MCM4	EMD
SLBP	ERI1
BANF1	PAEP
STAT1	PTP4A3
UBE2O	SAP30L
RPL3	BCAR3
EIF1B	PSME3
SNRK	JUN
CBS	HGS
SMAD1	YY1
TMEM203	EIF3H
UBR4	UBE2A
KRT18	FGA
PNP	MCC
GTF3C6	GTF3C4
PKIA	JUNB
MPDZ	HTR2A
FYCO1	CCZ1B
TLR1	HSPD1
TNIK	RAP2A
TRIM28	CDCA4
STK3	GABARAPL1
APLF	CHD1L
PIK3R1	SOCS1
NCK1	PRICKLE3
RPA2	RPA4
BAP1	FOXK2
FAM45BP	ALDH2
JAK2	NCK1
TUBB3	CAMSAP3
RUVBL1	DDX42
SLC9A3R1	CAPN6
SNRPN	GEMIN4
NSF	STX12
USP28	AQR
PCGF3	UBE2C
SP1	TLX3
PACSIN3	APBB1IP
YWHAG	EPB41
ACKR1	CXCL5
KEL	EDN2
SAP18	SEPT6
AFF2	NCK1
PCBD1	ZBTB25
ABHD10	SQSTM1
PRLR	YWHAG
TEC	ARHGEF12
ATP2B1	NOS3
SRC	NMT1
NOTCH3	ABL1
G3BP1	UIMC1
SHKBP1	COPS6
LGALS3	CSNK2A2
TPT1	IKBKE
RASSF6	STK4
LCK	CDC42
NAA10	MTA1
C10orf10	MYCBP
DHX58	DDX58
PCSK1N	PCSK1
MED1	KAT2A
FYN	RP1L1
DNAJB11	AGO4
MYC	SMARCAD1
HSPA5	H2AFX
TLX3	MEIS1
MRM3	MCC
KDM5B	PCNX1
POLR2F	POLR3D
YWHAQ	PDK1
QTRT1	ARF6
THRA	DAP3
MEPCE	DTYMK
SMYD2	RB1
ACTA1	S100A1
PPP1CC	RB1
CTRC	PHKG1
SMYD3	FAR1
SMAD2	IFT57
UBE2N	OTUB2
CDKN1A	AKT2
KDM4A	WDR48
CACYBP	RAC3
CD2BP2	MAGED1
NFKBIA	MEFV
MED30	MED21
SFPQ	PRKCI
BANF1	DPF2
ZMYM6	FOS
