a_alias	b_alias
QARS	RARS
MDFI	SLC25A10
SP100	SUMO1
CD58	CD2
CASP10	CASP8
UPF1	DCP2
SOCS3	TCEB2
FYN	WAS
TNPO1	RAN
CDC42	WAS
NTN1	DCC
ZDHHC17	HTT
KIT	PLCG1
CHMP4B	CHMP6
DSG2	JUP
CBFA2T2	RUNX1T1
PPP1R13L	PPP1CA
CLTC	HIP1
ATOX1	ATP7B
UCHL3	NEDD8
TCP1	CCT5
COPS5	COPS6
TSC2	YWHAB
ITGB2	ICAM1
RPS6KA4	CREB1
MAPK1	JUN
VPS4A	CHMP1A
TAF4	TAF12
KMT2A	MEN1
TRAF6	CYLD
MAD2L1	MAD2L1BP
GSPT2	PABPC1
MAML1	NOTCH1
CCL3L3	CCR5
CDH5	JUP
CSF1R	CBL
SQSTM1	GABARAPL1
PPP1R2	PPP1CC
EIF3C	EIF3E
IGF2R	GGA2
SKI	SMAD4
APC2	CTNNB1
IGFBP1	IGF1
CASP3	CASP8
GEMIN6	GEMIN7
ATF4	CEBPE
FYN	CD2
NR1I2	NCOA1
EGFR	VAV3
IKBKG	TBK1
COPZ1	COPB1
EPHA4	EFNB3
EPHA7	EFNA5
PEX14	PEX19
MAP3K14	TRAF2
TNFRSF12A	TRAF2
IL10	IL10RA
CAND1	RBX1
RBBP4	RB1
ARHGAP1	CDC42
GTF2H3	ERCC3
NOD2	RIPK2
ICAM1	ITGAL
IL12B	IL12A
LCK	PIK3R1
HDAC2	YY1
ISG15	UBA7
POMC	MC4R
SP1	CEBPB
PQBP1	WBP11
XRCC6	WRN
NES	CDK5
NEDD8	CUL3
APC	ARHGEF4
EPS15	EGFR
TRIM33	SMAD4
DSG1	JUP
RORA	PSMC5
MORF4L1	KAT5
PLCG1	CBL
BRCA1	E2F1
CALR	APOB
NUTF2	RAN
CDC6	ORC2
SKP1	FBXO7
RBBP7	RB1
GSPT1	UPF1
JAK3	STAT5A
HDAC1	SAP30
PCNA	RFC1
APP	APOE
AFF4	CCNT1
TSG101	CEP55
BECN1	PIK3C3
SH3GLB2	SH3GLB1
FANCE	FANCG
MAP3K5	MAP3K6
UPF2	UPF1
AHR	ARNT
TNFRSF1A	TRAF2
CTNND1	ZBTB33
GRB10	INSR
NMB	NMBR
LTA	LTB
PSMD8	PSMD4
EIF3L	EIF3K
PSMD4	PSMD6
STAT5A	EPOR
SMC1A	SMC3
XRCC6	CLU
BTRC	CDC25A
CD40	TRAF2
FANCC	FANCA
SYNJ1	AMPH
CEBPB	RB1
EGLN3	EPAS1
ATRIP	ATR
ING1	SAP30
PSMA2	PSMA4
NCK1	CBL
PTK2B	CBL
PFKL	PFKM
SKP1	FBXW8
C9	C8A
PSMD10	PSMC5
PSEN1	CTNNB1
CBL	BTK
TRAF3	CD40
ARHGEF7	GIT1
EGFR	PLCG1
RUNX1	CBFA2T2
DNM2	SNX9
RNF31	RBCK1
UPF2	UPF3A
BRCC3	BRCA1
ITGB1	CD63
NTF3	NTRK3
SYK	FCER1G
TRIM28	CBX5
BCL2L11	BCL2L2-PABPN1
TAF9	TAF5
KHDRBS1	CREBBP
PSMC2	RAD23A
MAP3K7	IKBKB
HSPA8	BAG3
YWHAQ	BRAF
RBX1	UBE2M
LSM3	LSM6
RHEB	TSC2
LSM3	LSM2
EP300	SMAD2
PRKCQ	IKBKB
CHUK	TRAF2
RALA	RALBP1
NUP214	XPO1
RAG2	RAG1
PSMC2	PSMC5
ERCC3	GTF2H1
BMPR1B	SMAD6
ERCC4	SLX4
