Q99962	SH3GL2
P43220	GLP1R
O43747	AP1G1
Q9H461	FZD8
P42224	STAT1
P42226	STAT6
Q92794	KAT6A
Q92793	CREBBP
P10144	GZMB
P10145	CXCL8
Q7KZI7	MARK2
Q96JH7	VCPIP1
Q9P289	STK26
Q99816	TSG101
Q9H081	MIS12
Q9UMD9	COL17A1
P27348	YWHAQ
O75154	RAB11FIP3
P25490	YY1
P63027	VAMP2
P46527	CDKN1B
Q99496	RNF2
Q99497	PARK7
Q02952	AKAP12
P20226	TBP
O43583	DENR
O43586	PSTPIP1
Q8WUM4	PDCD6IP
O43561	LAT
Q9GZP9	DERL2
P16070	CD44
P07948	LYN
Q9H9A7	RMI1
Q05513	PRKCZ
Q05516	ZBTB16
Q13310	PABPC4
Q13315	ATM
Q9Y5T5	USP16
Q8IWZ6	BBS7
Q14686	NCOA6
Q14684	RRP1B
Q14683	SMC1A
P04899	GNAI2
P06493	CDK1
Q6GQQ9	OTUD7B
P17252	PRKCA
Q9UNA4	POLI
P38936	CDKN1A
O14802	POLR3A
Q9NT62	ATG3
P07305	H1F0
P07306	ASGR1
Q13402	MYO7A
Q9HCK5	AGO4
P05787	KRT8
P10966	CD8B
P05783	KRT18
P63208	SKP1
P11166	SLC2A1
P55001	MFAP2
Q8WXI9	GATAD2B
Q06413	MEF2C
Q9UBQ5	EIF3K
Q9UBQ0	VPS29
P22681	CBL
Q15797	SMAD1
Q15796	SMAD2
Q13546	RIPK1
Q13547	HDAC1
P62241	RPS8
P62249	RPS16
Q9UJY4	GGA2
O00220	TNFRSF10A
O00567	NOP56
Q96J01	THOC3
Q96J02	ITCH
Q9NR61	DLL4
P50148	GNAQ
P61204	ARF3
P61201	COPS2
Q13895	BYSL
Q14BN4	SLMAP
O14625	CXCL11
Q92905	COPS5
P13725	OSM
Q9Y2A7	NCKAP1
NM_005870	SAP18
Q6ZRQ5	MMS22L
P34932	HSPA4
P51149	RAB7A
P05161	ISG15
Q9Y2S0	POLR1D
O95997	PTTG1
P06703	S100A6
P30050	RPL12
Q9UL18	AGO1
P11940	PABPC1
Q15303	ERBB4
Q86XK2	FBXO11
P35998	PSMC2
O15212	PFDN6
Q08722	CD47
Q9NNW7	TXNRD2
P13612	ITGA4
P13611	VCAN
P51812	RPS6KA3
P51811	XK
Q14999	CUL7
Q14790	CASP8
Q15019	SEPT2
Q10567	AP1B1
Q15011	HERPUD1
Q15013	MAD2L1BP
Q15014	MORF4L2
O15144	ARPC2
O15145	ARPC3
P45973	CBX5
P78324	SIRPA
Q9Y266	NUDC
P09681	GIP
Q9Y262	EIF3L
O14497	ARID1A
Q08211	DHX9
NM_002111	HTT
O75528	TADA3
Q9UKT4	FBXO5
O75521	ECI2
P09661	SNRPA1
Q8TAT6	NPLOC4
P50542	PEX5
Q92769	HDAC2
Q03111	MLLT1
P08648	ITGA5
P02675	FGB
Q9BXL7	CARD11
O95817	BAG3
P02679	FGG
Q92541	RTF1
Q92547	TOPBP1
Q13144	EIF2B5
Q02410	APBA1
Q96RN5	MED15
O15297	PPM1D
P46736	BRCC3
P15918	RAG1
Q9Y3C4	TPRKB
Q9Y3C7	MED31
P35579	MYH9
P05412	JUN
Q96Q27	ASB2
Q9HAV0	GNB4
Q9P299	COPZ2
P04141	CSF2
Q96SB8	SMC6
Q96SB4	SRPK1
P42345	MTOR
Q5T5U3	ARHGAP21
O43172	PRPF4
Q14457	BECN1
Q8IYW5	RNF168
Q8TEB1	DCAF11
Q9Y3Q8	TSC22D4
P05771	PRKCB
P12830	CDH1
Q13098	GPS1
P26358	DNMT1
Q9Y6R0	NUMBL
P11912	CD79A
Q13094	LCP2
P26599	PTBP1
Q02747	GUCA2A
O14965	AURKA
O14964	HGS
O43395	PRPF3
Q13324	CRHR2
P12956	XRCC6
P07225	PROS1
P09874	PARP1
P23528	CFL1
P19388	POLR2E
P40818	USP8
P36508	ZNF76
Q0VG06	FAAP100
Q8IXI2	RHOT1
Q16695	HIST3H3
Q9NX55	HYPK
O14818	PSMA7
Q15654	TRIP6
Q8N3Y1	FBXW8
Q6P4R8	NFRKB
Q92752	TNR
P08581	MET
Q13435	SF3B2
P16871	IL7R
Q13438	OS9
Q9UPT9	USP22
Q92974	ARHGEF2
P63279	UBE2I
P81277	PRLH
Q9UBV2	SEL1L
Q5TAQ9	DCAF8
P40259	CD79B
Q8WXF3	RLN3
Q13555	CAMK2G
Q96GD4	AURKB
P32418	SLC8A1
P60900	PSMA6
P62258	YWHAE
P12004	PCNA
Q9UJX6	ANAPC2
P49959	MRE11A
Q9NR77	PXMP2
Q6PD62	CTR9
P50151	GNG10
Q13114	TRAF3
Q13884	SNTB1
P33240	CSTF2
Q13889	GTF2H3
Q13888	GTF2H2
O00141	SGK1
P36888	FLT3
P48645	NMU
Q03164	KMT2A
Q13404	UBE2V1
P09471	GNAO1
O95155	UBE4B
Q9BYF1	ACE2
P78559	MAP1A
P49810	PSEN2
Q9NQS7	INCENP
Q96EF6	FBXO17
Q9Y678	COPG1
Q9Y679	AUP1
P07307	ASGR2
Q9NP71	MLXIPL
P62879	GNB2
P62873	GNB1
P62877	RBX1
P35968	KDR
Q15004	KIAA0101
Q15003	NCAPH
P29966	MARCKS
Q15008	PSMD6
O00762	UBE2C
O60477	BRINP1
Q9UM73	ALK
P07766	CD3E
Q8NHM5	KDM2B
Q12846	STX4
Q9Y210	TRPC6
Q12840	KIF5A
Q08209	PPP3CA
O75533	SF3B1
P25929	NPY1R
O75531	BANF1
O75530	EED
P09651	HNRNPA1
Q8WYK2	JDP2
P27986	PIK3R1
Q9ULV8	CBLC
Q07820	MCL1
O43157	PLXNB1
P02686	MBP
Q92934	BAD
Q13158	FADD
P43626	KIR2DL1
Q13155	AIMP2
O76071	CIAO1
Q05195	MXD1
Q14191	WRN
P52799	EFNB2
P46094	XCR1
P46092	CCR10
Q8TEU7	RAPGEF6
P35568	IRS1
Q14207	NPAT
Q14204	DYNC1H1
O60684	KPNA6
P05408	SCG5
P14868	DARS
Q96QV1	HHIP
Q9Y4H2	IRS2
P06213	INSR
P49642	PRIM1
P68036	UBE2L3
P10636	MAPT
P68032	ACTC1
P98164	LRP2
Q8IW19	APLF
P19174	PLCG1
O75312	ZPR1
Q8TEC5	SH3RF2
O75643	SNRNP200
Q5XUX0	FBXO31
Q8N122	RPTOR
O14656	TOR1A
O43765	SGTA
P00750	PLAT
Q96T76	MMS19
P42701	IL12RB1
O14958	CASQ2
Q14738	PPP2R5D
Q14739	LBR
Q9Y5V3	MAGED1
O43543	XRCC2
Q96RL1	UIMC1
P60660	MYL6
O43493	TGOLN2
Q6IN85	PPP4R3A
O60260	PARK2
O60262	GNG7
P38919	EIF4A3
Q15648	MED1
P48023	FASLG
P62318	SNRPD3
P62316	SNRPD2
Q13426	XRCC4
P62314	SNRPD1
Q13424	SNTA1
P62312	LSM6
Q13422	IKZF1
P62310	LSM3
Q16594	TAF9
P61758	VBP1
P52701	MSH6
Q8NI27	THOC2
Q96GG9	DCUN1D1
Q13526	PIN1
P49674	CSNK1E
O14733	MAP2K7
P22460	KCNA5
P41252	IARS
P48730	CSNK1D
P34820	BMP8B
P09884	POLA1
Q7L591	DOK3
P84098	RPL19
P84095	RHOG
Q15466	NR0B2
Q06187	BTK
Q9H0M0	WWP1
Q9UNM6	PSMD13
P55060	CSE1L
P50549	ETV1
O00487	PSMD14
P32004	L1CAM
Q6ZTQ3	RASSF6
P51946	CCNH
P51948	MNAT1
O14543	SOCS3
Q9BYE7	PCGF6
Q12923	PTPN13
Q96EE3	SEH1L
P52948	NUP98
P29374	ARID4A
P29376	LTK
P08913	ADRA2A
Q9UBE8	NLK
P02458	COL2A1
P02452	COL1A1
O00571	DDX3X
P20742	PZP
Q00597	FANCC
Q15078	CDK5R1
P40121	CAPG
P20749	BCL3
Q6IA86	ELP2
Q9UHA4	LAMTOR3
P06681	C2
Q9H1K0	RBSN
Q8WVC0	LEO1
Q9Y535	POLR3H
P29597	TYK2
P29590	PML
Q09472	EP300
Q09470	KCNA1
P68133	ACTA1
P21728	DRD1
Q9Y333	LSM2
Q92922	SMARCC1
O95835	LATS1
Q8WVM7	STAG1
Q9UER7	DAXX
Q14181	POLA2
P35222	CTNNB1
Q14184	DOC2B
P08138	NGFR
P35221	CTNNA1
Q14188	TFDP2
Q9H4B6	SAV1
O60674	JAK2
Q9Y3A3	MOB4
O60673	REV3L
Q9UK73	FEM1B
Q13477	MADCAM1
Q92851	CASP10
Q6UWZ7	FAM175A
O43156	TTI1
P98170	XIAP
O43150	ASAP2
P05556	ITGB1
O75674	TOM1L1
P00747	PLG
P00740	F9
P00742	F10
Q9UPX8	SHANK2
P00749	PLAU
P00748	F12
Q9BSM1	PCGF1
O15492	RGS16
Q8IYD8	FANCM
Q14721	KCNB1
P12931	SRC
P35226	BMI1
P15336	ATF2
P25786	PSMA1
Q99759	MAP3K3
P35227	PCGF2
Q13188	STK3
Q99755	PIP5K1A
P22001	KCNA3
Q6PGQ7	BORA
P22004	BMP6
Q99750	MDFI
Q14185	DOCK1
Q8WU39	MZB1
Q9UH77	KLHL3
O14836	TNFRSF13B
Q14494	NFE2L1
Q9H9T3	ELP3
Q9NX70	MED29
P25445	FAS
P63096	GNAI1
P51668	UBE2D1
Q16584	MAP3K11
Q15582	TGFBI
Q8ND25	ZNRF1
Q8WXD5	GEMIN6
O14727	APAF1
P13861	PRKAR2A
Q16566	CAMK4
P48729	CSNK1A1
P16220	CREB1
P22670	RFX1
Q8NG31	KNL1
Q8IXK0	PHC2
P15036	ETS2
Q96BH1	RNF25
P23193	TCEA1
Q9NR50	EIF2B3
P47897	QARS
P25054	APC
Q9HB96	FANCE
P61254	RPL26
Q15291	RBBP5
P27694	RPA1
Q14257	RCN2
O14617	AP3D1
Q13627	DYRK1A
Q9NV58	RNF19A
P49711	CTCF
P19838	NFKB1
O14610	GNGT2
P55072	VCP
P51572	BCAP31
Q8IUC6	TICAM1
P29317	EPHA2
P56524	HDAC4
O60895	RAMP2
P05156	CFI
P05154	SERPINA5
Q16099	GRIK4
P55211	CASP9
Q9C035	TRIM5
Q9C030	TRIM6
O95602	POLR1A
Q9H6T3	RPAP3
Q12913	PTPRJ
P00441	SOD1
Q9P021	CRIPT
Q9H8S9	MOB1A
Q07157	TJP1
Q9NNX6	CD209
Q7L5N1	COPS6
O00743	PPP6C
Q9Y230	RUVBL2
Q04912	MST1R
Q9UM11	FZR1
Q9UM13	ANAPC10
Q12860	CNTN1
P02730	SLC4A1
P25942	CD40
P08238	HSP90AB1
Q6P1J9	CDC73
Q6PKG0	LARP1
Q96A65	EXOC4
P09326	CD48
P09327	VIL1
Q15118	PDK1
Q92918	MAP4K1
P15391	CD19
P14678	SNRPB
Q8IY92	SLX4
P28347	TEAD1
Q8TF74	WIPF2
P32780	GTF2H1
P49792	RANBP2
P49069	CAMLG
O75486	SUPT3H
P30874	SSTR2
P30876	POLR2B
P35548	MSX2
P15923	TCF3
P08123	COL1A2
P17980	PSMC3
P17987	TCP1
Q9BXJ9	NAA15
P06239	LCK
P07585	DCN
Q8N0X7	SPG20
Q92466	DDB2
Q96JB5	CDK5RAP3
Q99619	SPSB2
Q96LR5	UBE2E2
P28072	PSMB6
O75663	TIPRL
Q99613	EIF3C
P23276	KEL
Q01094	E2F1
Q15843	NEDD8
Q15842	KCNJ8
O43707	ACTN4
P23443	RPS6KB1
P42262	GRIA2
Q9GZT9	EGLN1
P19022	CDH2
O43521	BCL2L11
P23510	TNFSF4
Q9Y5X1	SNX9
P53667	LIMK1
Q99728	BARD1
O60244	MED14
Q9UNS1	TIMELESS
Q9UNS2	COPS3
Q13190	STX5
Q14155	ARHGEF7
Q14152	EIF3A
O94888	UBXN7
O14842	FFAR1
P26038	MSN
P19338	NCL
P16104	H2AFX
