SUPT3H	TRRAP
DOCK4	YWHAB
PAPSS2	VHL
CBL	MST1R
TRIM46	UBE2Z
PARP1	POU2F1
TEC	PIK3R3
APC	KRT13
HSCB	BBS2
HEATR1	TTBK1
ATP2B4	ERBIN
RELB	KPNA1
SET	PPP2R1B
SNX18	SOS1
USP15	DFFA
NDEL1	YWHAG
CBX1	TRIM24
APP	TMCC2
ERBB4	WWOX
UBE2D3	UHRF2
STAT6	CEBPB
PRPF40A	DDX46
CNTN2	TUBG1
DTNBP1	CCNA2
PSMD8	PSMA7
TNFRSF1A	XPOT
GCN1	MAGED1
CBX7	HIST1H3A
RIPK3	GNG12
TIMM50	PHB2
WRAP73	MTHFD1
SLC25A6	MAP3K3
EIF3F	CDK11B
CDK5RAP3	UFL1
ZNF10	NDEL1
AVP	AVPR2
RPS5	RPS29
MT-CO2	YWHAE
KDELR1	NEK6
SOCS3	IL12RB2
INHBC	INHBB
MAP3K5	CREBBP
PRKAA2	PRKAB1
MED14	CDK8
PABPC1	NFKB2
SREK1	THRAP3
PSEN1	CDC37
NLRC5	CHUK
RPL4	PRSS23
KIF11	KAT2B
GRK5	AGTR1
MAD2L1	MBL2
CRP	FCGR1A
MPDZ	PLEKHA2
TXNL4A	HNRNPF
DNAAF5	PHLDA3
BIRC2	TRAF6
GRIA3	PPM1G
YBX1	SF3A2
CALB1	TRPV5
CCNE1	HERC5
CDK5RAP3	DDRGK1
RING1	UBE2D2
PSMD11	PSMA7
C20orf24	IPO11
PRPF40A	NCKAP1L
IKBKG	MAP3K3
TWF2	KRT31
RPL35	RPL27A
TEP1	TERT
FOXG1	HDAC1
FYN	JAK2
TNFRSF1A	ATP1A1
DPYSL3	DISC1
IKBKB	IRAK1
KANK2	NOS3
MAPK14	INTS6L
CDC37	RAD23A
RMND5A	GID8
APP	COL1A2
PRKCA	YWHAG
REPS2	RALB
SKP2	SPDYA
TOM1L1	HNRNPH1
RGS3	SMAD1
BRCA1	ZCCHC8
FKBP8	KCNH2
TNFRSF1B	AIFM1
YWHAE	PNLIP
SNTA1	TGFA
LAMC1	PDIA3
TBK1	TUBB4A
SNRPD2	SNRPD3
COL2A1	COL9A3
ARPC5L	ARPC2
CASP8	SQSTM1
RGS12	NPY2R
TUBB4B	SOCS6
HMGXB4	HABP4
GABRA3	UBQLN1
APBB1	SF3B3
PDGFRB	STAT5A
C20orf24	HACD3
SERPINE2	COL4A1
UBE2W	TRIM27
MSL2	YWHAG
KCNIP2	KCNIP4
GTF2A2	GTF2E1
UBE2W	DTX3
PSMB6	PSMA4
MYC	CEBPA
SKIL	CPNE2
SYK	CBLB
SOS1	PIK3R1
GNAI1	GPR50
KHK	DEDD
MAP3K14	BYSL
BCR	VAV1
BAK1	AKAP13
SNRNP200	PRKAB1
MPDZ	SSTR3
SRP72	CASP3
TH	SNCA
DARS	NDRG1
ERBIN	GRIN2C
FOXO3	YWHAB
MAD1L1	SIN3B
SOS1	ABI3
GCN1	MAST2
TNFRSF1A	SLC25A6
ZBTB7A	SP1
TCF3	PSMD4
PKM	EGLN3
DZIP3	UBE2D2
SERPINA5	F2
TYK2	IRS1
HDAC2	BRMS1L
RUVBL1	CENPA
FHIT	CTNNB1
USP11	RNF2
SRC	NPHS1
TCL1A	HIST3H2A
CD82	ITGB2
FAM96B	MLF2
PELO	MCM7
APC	RPS27
RFWD2	ETV1
TSR1	RIOK2
PELO	ABCD3
HADHB	RIPK2
MAGED1	SMC3
TELO2	PSMD6
RABAC1	RHOA
HOXB7	NFKBIA
VDAC1	PANK2
MCM4	CDK2
LIFR	POU2F1
HRAS	RGL4
GZMA	NCL
THBD	PROC
HIST3H3	PADI4
KDELR2	SERINC3
PPP5C	CPNE4
SRSF4	SF3A2
PDGFB	HRAS
ITGB1	ICAM4
HOXD4	PBX1
TRIM5	UBE2D4
BCL2	TP53AIP1
PTPRF	NID1
SLC2A4	ACTN4
UBE2L3	AURKA
KIF5B	APC
SPTAN1	DES
TEK	PIK3R1
HAUS6	HAUS7
TNFRSF10D	TRIM28
RPS23	MAP3K1
VPS41	MON1B
RELA	HSPA9
RPL31	CNBP
RNF144B	UBE2T
KDR	NCK1
LNX2	UBE2Z
CDC20	YARS2
SEC61B	ARL6
SH3GL2	AMPH
ECSIT	NDUFAF1
LRP2	GPRASP1
TGFBI	COL1A2
CDK19	MYCBPAP
CDK19	MYCBPAP
UBE2E3	RNF4
CSF2RB	EPOR
TOPBP1	ATM
HSPA4	EGFR
NIF3L1	APIP
UBE2L3	RNF113B
NPHP1	FLNC
MEF2D	MEF2C
TMED2	GORASP2
MYO6	MAP3K3
