Gene	Count
SART1	35
NEDD8	199
STRIP1	1
PHAX	3
ARF4	11
DYNC1LI1	5
RIF1	75
PRND	18
MOB4	1
RIOK2	2
ATP1A4	0
CMTR1	0
TTC7B	0
C20orf196	0
EIF2S3	5
DDX18	3
DYNLRB1	7
RNMT	8
CBWD2	1
POLRMT	6
LRRC2	4
RGSL1	4
HAP1	55
FN3KRP	2
RBMX	8
NAP1L2	1
LRRC42	1
EIF3K	1
ASB4	1
EIF3D	9
MTMR9	1
KNDC1	0
UTP14A	3
SNU13	2
SEC24C	1
NTPCR	0
PLEKHA4	0
ZNF699	1
TEFM	0
DDX50	1
MPHOSPH6	0
STK25	9
FAM103A1	1
RPL7L1	0
KRT76	2
RFC5	11
RPLP2	10
RPLP1	4
RPLP0	38
KRT78	0
RFC3	22
ZBTB10	29
SNRPA1	2
CYB5D1	1
FBXW2	2
KLHL12	0
KLHL15	0
KLHL17	0
KLHL18	2
HNRNPA0	9
RPL10A	7
RPL10L	2
XAB2	7
POLA1	11
USP43	0
MRPS15	1
NOP58	7
OGFR	47
VASN	5
PM20D2	1
DDX23	1
TOE1	3
DDX24	2
RHOH	42
RBM4B	0
NARS	14
PRPF39	0
TFB2M	4
ZNF570	1
KLHDC10	0
IARS	6
SLC25A5	3
GPATCH1	0
DNAJA2	5
SNRPD1	6
KPNA6	4
KDELC1	0
EIF5B	8
SRSF6	16
USP44	10
PDPR	1
RPS3A	13
PJA2	6
ATG10	11
RPP25L	0
RSL1D1	4
C19orf70	0
UBE2M	6
MRPS21	0
STRN	15
ASPRV1	0
PHF5A	4
RPS12	11
RPL18A	1
RPS5	11
RHOT2	3
TP53RK	5
RPS9	14
SIK2	20
AKAP8L	4
RPS27	26
RPS23	10
WBP11	0
NUP50	7
CKMT2	0
PBDC1	1
PPP1R15A	89
FARSB	2
TMTC2	1
PPIH	0
CLCC1	2
CEMIP	2
RPL29	27
RPL27	6
NAP1L4	8
RPL13A	19
RPL23	8
RPL22	136
FBXO30	3
MAD2L1BP	13
IK	199
GTPBP1	0
PCDHA4	1
PURB	3
ZRANB1	2
ZRANB3	6
BORA	247
NOSIP	0
C19orf43	0
EIF1AY	3
CEP126	0
SEPT10	10
EIF3CL	0
VWA7	0
KRT24	1
KLHL8	1
KLHL9	4
KCTD13	3
KCTD10	1
FBXL3	3
KCTD18	0
BRMS1	140
PSG9	2
RPL8	8
RPL7	9
RPL4	9
CCDC68	2
KLHDC2	1
KBTBD2	0
KBTBD8	0
LANCL1	4
CTNNBL1	5
TTC5	1
DCUN1D1	16
DCUN1D2	3
ANKRD24	0
IFIT1B	1
MTFR2	1
TPRKB	0
RBM22	0
BTBD8	0
BUD31	4
AGO4	8
NRBP1	7
BTBD2	4
EFCC1	0
CCDC106	0
MRPS34	1
RPL9	3
TRMT6	0
NIFK	2
HIST1H1D	2
HNRNPUL2	1
YTHDC2	3
SMU1	0
RPS13	10
KCTD2	1
RPS11	7
RPS16	9
AAR2	0
RPS18	10
CRCT1	3
NDUFA5	6
HIST1H2AD	0
HSPBP1	11
TSR1	10
CPNE7	4
LAMB4	4
TRMT10C	0
LDHD	9
KCTD20	0
KCTD21	1
CLTCL1	6
SNRPA	3
SNRPG	1
RPL26L1	0
RPL38	7
RPL36	4
RPL35	2
RPL32	23
RPL30	21
SERF1B	0
HMGN3	10
DNAJC8	2
ZRANB2	2
MKNK2	39
SRSF4	6
NOVA1	15
SRSF12	0
C16orf78	0
FBXO15	2
ARGLU1	2
LARP1	14
MAPKAPK5	17
ADPRH	0
