__mclCluster	name
122.0	GNB2
12.0	GNG5
299.0	POLA1
76.0	PCNA
450.0	GABARAP
451.0	DHH
451.0	HHIP
60.0	LSM2
60.0	LSM4
452.0	FAAP24
452.0	FANCM
-1	RPS14
372.0	WDR61
220.0	NCOA2
453.0	WASF2
453.0	ACTR3
138.0	PEF1
-1	TRIM25
454.0	SCRIB
454.0	ARHGEF7
326.0	COPS7A
438.0	PRPF6
33.0	DLL4
1.0	DTL
174.0	ACIN1
-1	RNF8
9.0	ASB8
-1	COPB2
-1	COPG2
9.0	SPSB1
20.0	CXCL12
6.0	TUBA4A
136.0	SEC13
136.0	NUP107
8.0	FBXO31
455.0	CTBP2
455.0	HIC1
456.0	YWHAB
456.0	RIN1
355.0	RNF2
68.0	LRR1
115.0	YWHAQ
139.0	IL20RB
-1	DNMT1
-1	PSMA1
457.0	STK11
457.0	CDC37
-1	PSMC6
344.0	HDAC5
-1	MED16
51.0	RASSF6
458.0	PDCD6IP
458.0	VPS4B
79.0	GNAO1
79.0	ADRA2A
100.0	UBA1
100.0	UBE2L3
459.0	RAMP2
459.0	CALCRL
460.0	CCNA1
460.0	HIST1H1A
103.0	SIRPA
103.0	CD47
21.0	MED23
461.0	NRAS
461.0	SHOC2
-1	DCTN1
4.0	VCPIP1
462.0	CD2AP
462.0	MVB12A
70.0	MCC
70.0	CSNK1E
463.0	RUVBL2
463.0	ACTR8
-1	SNAI1
432.0	STAT3
130.0	GSK3B
130.0	AKAP11
464.0	NMU
464.0	NMUR2
465.0	HAND2
465.0	HAND1
466.0	CD247
466.0	CD3E
467.0	TEC
467.0	DOK1
6.0	PIAS2
59.0	ARF1
59.0	PIP5K1A
40.0	CLNS1A
40.0	SNRPD3
4.0	ANKZF1
68.0	CUL2
41.0	IL1A
468.0	RFX1
468.0	RFX2
469.0	FANCA
469.0	FAAP100
1.0	WDTC1
4.0	ASPSCR1
470.0	CFI
470.0	CFH
471.0	SLC22A1
471.0	POU2AF1
472.0	CREM
472.0	FHL5
-1	STUB1
473.0	RAN
473.0	NXF1
19.0	STRN
121.0	TGFBR1
121.0	SMURF1
474.0	MBP
9.0	TCEB3
475.0	NUP62
475.0	NUTF2
46.0	NCOA1
46.0	STAT6
7.0	FZR1
-1	CENPA
369.0	AURKB
476.0	DDX3X
476.0	EIF4E
38.0	ZMYM2
477.0	STXBP3
477.0	STX4
140.0	ERCC2
330.0	RAD50
124.0	CDH2
-1	BTRC
478.0	CSF2
478.0	CSF3R
479.0	PDS5B
479.0	RAD21
343.0	RBX1
8.0	FBXW8
-1	TUBA1A
36.0	SYK
36.0	PLCG2
-1	NGFR
-1	RIPK2
-1	ASH2L
-1	HCFC1
16.0	CDC27
16.0	FBXO5
9.0	SPSB4
137.0	AP3D1
137.0	AP3B1
21.0	MED13
-1	ASB2
-1	PSMA6
480.0	FAS
480.0	CASP10
481.0	HRAS
481.0	PDE6D
1.0	DCAF4
216.0	CASP3
482.0	ABL1
482.0	MAP4K1
-1	E2F2
-1	CDK3
13.0	RNF25
337.0	SRC
483.0	TAF1
483.0	HMGB1
484.0	BCAR1
484.0	PTPRF
50.0	IFNAR1
447.0	EIF3H
-1	EIF3D
485.0	YY1
485.0	INO80
486.0	MED12
486.0	MED4
444.0	PRKCB
131.0	GSK3A
17.0	NUP98
474.0	MAPK13
-1	MAPK8IP2
61.0	FFAR1
407.0	TRIM5
-1	SMARCC1
-1	COPS6
-1	COPS2
-1	RPS2
-1	MED21
-1	MED6
47.0	MAPK14
328.0	E2F1
487.0	RLIM
488.0	MZB1
488.0	CASP2
7.0	CDC25B
-1	CBX4
-1	PHC1
129.0	ZBTB16
8.0	DCUN1D1
120.0	LRP1
120.0	APP
41.0	MYD88
41.0	IL1R1
81.0	EGLN1
81.0	FKBP8
489.0	VWF
489.0	GP1BA
307.0	ICAM1
276.0	ITGAM
7.0	H1F0
490.0	POLA2
490.0	PRIM2
491.0	DRP2
491.0	UTRN
34.0	PRKCA
34.0	DGKZ
492.0	GIP
492.0	GIPR
493.0	COPZ2
494.0	VIPR1
494.0	VIP
495.0	MAP3K1
495.0	CHUK
-1	PIN1
163.0	SMAD3
141.0	SNTG1
69.0	SIAH1
8.0	FBXO11
4.0	VCP
263.0	AMFR
20.0	DPP4
20.0	CXCL10
29.0	RPL11
-1	CCT6A
12.0	GNB1
496.0	TRAPPC3
496.0	TRAPPC8
58.0	JAK2
58.0	BCR
67.0	TSC22D4
497.0	LLGL2
497.0	PARD6A
-1	PCGF1
160.0	RING1
185.0	RLN2
421.0	RXFP1
128.0	FAM175A
128.0	BRCC3
94.0	RBBP4
-1	PSMB1
113.0	USP16
113.0	CDK1
-1	COPS3
-1	CDKN1A
498.0	PTPN11
498.0	PXN
499.0	COL5A1
499.0	COL5A3
28.0	SF3B2
28.0	SF3A2
500.0	SEPT2
500.0	SEPT7
501.0	PDHA1
501.0	PDK1
-1	RNF7
-1	INSR
502.0	TNFSF10
502.0	TNFRSF11B
-1	PSMA5
503.0	THOC2
503.0	DDX39B
504.0	DMAP1
504.0	SRCAP
47.0	CCND3
47.0	RB1
-1	PSMB8
-1	PSMA2
-1	CCND1
280.0	HDAC3
-1	RPS26
-1	RPS12
75.0	PAF1
