clusters	score	genes
425	0.163748562279	YTHDF3:0.0,ISG15:0.0,FUT4:0.0,HERC5:0.0,ACOT8:0.0
520	0.163587956143	NCL:0.0,APTX:0.0,GZF1:0.0,CD28:0.0
472	0.163351917323	FSD1:0.0,AATK:0.0,C1orf61:0.0,MYCN:1.0,CDK5:0.0
263	0.162858323245	OLIG2:1.0,PRRX2:0.0,SOX10:0.0,SOX8:0.0,UTF1:0.0,POU3F3:0.0,HOXC4:0.0
965	0.162788484469	ECHS1:0.0,PFAS:0.0
333	0.162510610227	TMEM256:0.0,SIRT3:0.0,FAM45BP:0.0,ALDH2:1.0,GPI:0.0,FAM45A:0.0
269	0.161752722264	SHC3:0.0,ALK:1.0,WDR36:0.0,MYBPC3:0.0,KRT74:0.0,PLCB2:0.0,MTIF2:0.0
10	0.161467472383	TLE3:0.0,CCDC6:1.0,EID1:0.0,SNAI2:0.0,TRMT61A:0.0,ID3:0.0,ZNF516:0.0,MIER2:0.0,WISP2:0.0,EID2:0.0,OVOL1:0.0,MBD3L1:0.0,ID2:0.0,MTA1:0.0,HDAC1:0.0,ZNF335:0.0,MAD2L2:0.0,SAP30:0.0,ZFPM2:0.0,HSD11B2:0.0,HDAC3:0.0,MKX:0.0,ELMSAN1:0.0,EMSY:0.0,SIX3:0.0,C16orf87:0.0,SATB2:0.0,ESCO1:0.0,SUDS3:0.0,DEC1:0.0,SMYD1:0.0,TMEM54:0.0,PAAF1:0.0,SIX4:0.0,TSC22D3:0.0,ZNF395:0.0,TAL1:1.0,GATAD2B:0.0,HES1:0.0,ELK1:0.0,KDM5A:1.0,SUZ12:1.0,DNMT1:0.0,WHSC1:1.0,PRDM4:0.0,TRERF1:0.0,PARP14:0.0,HMG20A:0.0,SMARCC1:0.0,NKX3-2:0.0,EID2B:0.0,ID4:0.0,EID3:0.0,LARP7:0.0,HDAC2:0.0,MTA2:0.0,HELLS:0.0,DDX53:0.0,RABEP2:0.0,NKX2-5:0.0,SNAI3:0.0,BAHD1:0.0,NUP54:0.0,MAGEB1:0.0,MBD4:0.0,KCTD11:0.0,NKX2-2:0.0,ZNF217:0.0,INSM1:0.0,PADI4:0.0,MAGEC2:0.0,SMARCD1:1.0,NR2E1:0.0,GLI3:0.0,MAGEH1:0.0,KLF1:0.0,TBL1XR1:1.0,CORO2A:0.0,ZNF461:0.0,PPP4R2:0.0,ACTN4:0.0,ING2:0.0,RAI1:0.0,ABTB1:0.0,HOXA11:1.0,RCOR2:0.0,DNTTIP1:0.0
111	0.160645009155	CBL:1.0,ACTG2:0.0,LAT2:0.0,TCN1:0.0,STS:0.0,CD38:0.0,UBASH3B:0.0,KRT6C:0.0,CDKL2:0.0,KRT79:0.0,SPRED2:0.0,GAB1:0.0
270	0.160359543456	BMPR1B:0.0,BMPR1A:1.0,FKBP1B:0.0,LRG1:0.0,TGFBR1:0.0,ACVRL1:0.0,IGSF1:0.0
62	0.159446343253	TTI2:0.0,KRT15:0.0,INO80E:0.0,C12orf45:0.0,PFDN4:0.0,RUVBL2:0.0,YY1:0.0,INO80C:0.0,ING3:0.0,PIH1D1:0.0,CCDC87:0.0,TELO2:0.0,INO80B:0.0,ACTR5:0.0,ACTR8:0.0,RUVBL1:0.0,INO80:0.0,TTI1:0.0,TFPT:1.0
288	0.159301513631	RBM12:0.0,RAB3GAP2:0.0,GNE:0.0,TSEN34:0.0,ARMCX3:0.0,CLP1:1.0,TSEN54:0.0
157	0.15890770872	LCK:1.0,IFNAR1:0.0,LIME1:0.0,PTPRH:0.0,GRAP:0.0,FAM174A:0.0,HAVCR2:0.0,DAPP1:0.0,CD8A:0.0,SOCS2:0.0
183	0.158620326461	COX6C:1.0,FAM208A:0.0,GTF2F2:0.0,TRAM2:0.0,IPO8:0.0,VAV3:0.0,CRBN:0.0,MAN1A2:0.0,GPRC5A:0.0
343	0.157997232883	HOXD4:0.0,HOXB13:0.0,ASB8:0.0,TIGD4:0.0,ZNF490:0.0,ETV4:1.0
692	0.156884122935	DTX4:0.0,NLRP4:0.0,TBK1:0.0
